Photolysis rate coefficients, s-1
   1 = O3 -> O2 + O(1D)                                  
   2 = H2O2 -> 2 OH                                      
   3 = NO2 -> NO + O(3P)                                 
   4 = NO3 -> NO2 + O(3P)                                
   5 = N2O5 -> NO3 + NO2                                 
   6 = CH2O -> H + HCO                                   
   7 = CH2O -> H2 + CO                                   
   8 = CH3OOH -> CH3O + OH                               
values at z =      0.500 km
Columns: time, sza, photo-reactions
time, hrs.  sza, deg.          1          2          3          4          5          6          7          8
    0.0000    145.514  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    0.2500    145.318  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    0.5000    144.742  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    0.7500    143.802  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    1.0000    142.527  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    1.2500    140.951  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    1.5000    139.107  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    1.7500    137.030  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    2.0000    134.754  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    2.2500    132.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    2.5000    129.710  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    2.7500    126.992  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    3.0000    124.167  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    3.2500    121.251  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    3.5000    118.260  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    3.7500    115.201  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    4.0000    112.085  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    4.2500    108.922  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    4.5000    105.716  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    4.7500    102.473  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    5.0000     99.200  3.384E-13  1.354E-12  4.793E-09  1.472E-07  9.247E-12  2.340E-12  1.001E-11  1.086E-12
    5.2500     95.899  1.938E-10  2.469E-10  5.674E-07  5.293E-06  1.574E-09  6.432E-10  1.911E-09  1.933E-10
    5.5000     92.575  8.894E-09  1.090E-08  2.642E-05  4.114E-04  6.998E-08  2.785E-08  8.349E-08  8.547E-09
    5.7500     89.232  5.494E-08  8.590E-08  2.177E-04  5.001E-03  5.545E-07  2.178E-07  6.630E-07  6.744E-08
    6.0000     85.870  1.689E-07  2.589E-07  6.205E-04  2.144E-02  1.655E-06  7.304E-07  2.003E-06  2.021E-07
    6.2500     82.495  3.928E-07  5.337E-07  1.246E-03  4.986E-02  3.393E-06  1.638E-06  4.073E-06  4.146E-07
    6.5000     79.109  7.928E-07  9.245E-07  2.095E-03  7.799E-02  5.844E-06  3.005E-06  6.946E-06  7.153E-07
    6.7500     75.712  1.457E-06  1.428E-06  3.066E-03  1.019E-01  8.953E-06  4.875E-06  1.059E-05  1.100E-06
    7.0000     72.309  2.468E-06  2.014E-06  4.049E-03  1.214E-01  1.252E-05  7.194E-06  1.478E-05  1.544E-06
    7.2500     68.902  3.882E-06  2.658E-06  5.013E-03  1.374E-01  1.639E-05  9.866E-06  1.929E-05  2.029E-06
    7.5000     65.491  5.720E-06  3.325E-06  5.900E-03  1.505E-01  2.035E-05  1.275E-05  2.384E-05  2.527E-06
    7.7500     62.080  7.966E-06  3.994E-06  6.706E-03  1.613E-01  2.428E-05  1.573E-05  2.830E-05  3.023E-06
    8.0000     58.673  1.058E-05  4.649E-06  7.429E-03  1.704E-01  2.811E-05  1.873E-05  3.255E-05  3.506E-06
    8.2500     55.271  1.350E-05  5.279E-06  8.073E-03  1.780E-01  3.176E-05  2.166E-05  3.654E-05  3.968E-06
    8.5000     51.877  1.665E-05  5.876E-06  8.643E-03  1.843E-01  3.521E-05  2.448E-05  4.023E-05  4.403E-06
    8.7500     48.498  1.995E-05  6.434E-06  9.143E-03  1.897E-01  3.842E-05  2.715E-05  4.360E-05  4.808E-06
    9.0000     45.136  2.334E-05  6.950E-06  9.580E-03  1.941E-01  4.137E-05  2.964E-05  4.665E-05  5.182E-06
    9.2500     41.798  2.672E-05  7.424E-06  9.960E-03  1.979E-01  4.407E-05  3.194E-05  4.939E-05  5.523E-06
    9.5000     38.494  2.997E-05  7.844E-06  1.028E-02  2.009E-01  4.646E-05  3.400E-05  5.178E-05  5.825E-06
    9.7500     35.233  3.317E-05  8.227E-06  1.056E-02  2.035E-01  4.864E-05  3.588E-05  5.392E-05  6.099E-06
   10.0000     32.031  3.622E-05  8.578E-06  1.081E-02  2.057E-01  5.062E-05  3.761E-05  5.585E-05  6.350E-06
   10.2500     28.910  3.897E-05  8.875E-06  1.101E-02  2.074E-01  5.230E-05  3.909E-05  5.746E-05  6.561E-06
   10.5000     25.899  4.144E-05  9.131E-06  1.118E-02  2.088E-01  5.374E-05  4.036E-05  5.883E-05  6.743E-06
   10.7500     23.043  4.359E-05  9.345E-06  1.132E-02  2.099E-01  5.495E-05  4.142E-05  5.996E-05  6.895E-06
   11.0000     20.411  4.539E-05  9.518E-06  1.142E-02  2.107E-01  5.592E-05  4.228E-05  6.086E-05  7.018E-06
   11.2500     18.098  4.681E-05  9.652E-06  1.151E-02  2.114E-01  5.667E-05  4.295E-05  6.156E-05  7.112E-06
   11.5000     16.246  4.784E-05  9.747E-06  1.156E-02  2.118E-01  5.721E-05  4.343E-05  6.205E-05  7.180E-06
   11.7500     15.026  4.847E-05  9.804E-06  1.160E-02  2.120E-01  5.752E-05  4.371E-05  6.234E-05  7.220E-06
   12.0000     14.596  4.867E-05  9.823E-06  1.161E-02  2.121E-01  5.763E-05  4.381E-05  6.244E-05  7.233E-06
   12.2500     15.026  4.846E-05  9.804E-06  1.160E-02  2.120E-01  5.752E-05  4.371E-05  6.234E-05  7.220E-06
   12.5000     16.248  4.784E-05  9.747E-06  1.156E-02  2.118E-01  5.720E-05  4.343E-05  6.205E-05  7.179E-06
   12.7500     18.100  4.681E-05  9.652E-06  1.150E-02  2.113E-01  5.667E-05  4.295E-05  6.156E-05  7.112E-06
   13.0000     20.411  4.539E-05  9.518E-06  1.142E-02  2.107E-01  5.592E-05  4.228E-05  6.086E-05  7.017E-06
   13.2500     23.044  4.359E-05  9.344E-06  1.132E-02  2.099E-01  5.494E-05  4.142E-05  5.995E-05  6.894E-06
   13.5000     25.899  4.144E-05  9.130E-06  1.118E-02  2.088E-01  5.374E-05  4.035E-05  5.882E-05  6.742E-06
   13.7500     28.909  3.897E-05  8.875E-06  1.101E-02  2.074E-01  5.230E-05  3.909E-05  5.746E-05  6.561E-06
   14.0000     32.030  3.621E-05  8.577E-06  1.081E-02  2.057E-01  5.062E-05  3.761E-05  5.585E-05  6.349E-06
   14.2500     35.231  3.317E-05  8.227E-06  1.056E-02  2.035E-01  4.863E-05  3.588E-05  5.392E-05  6.099E-06
   14.5000     38.490  2.997E-05  7.843E-06  1.028E-02  2.009E-01  4.646E-05  3.400E-05  5.178E-05  5.824E-06
   14.7500     41.794  2.672E-05  7.423E-06  9.960E-03  1.979E-01  4.407E-05  3.194E-05  4.939E-05  5.523E-06
   15.0000     45.129  2.334E-05  6.950E-06  9.580E-03  1.941E-01  4.137E-05  2.964E-05  4.665E-05  5.182E-06
   15.2500     48.489  1.996E-05  6.434E-06  9.143E-03  1.896E-01  3.842E-05  2.715E-05  4.360E-05  4.809E-06
   15.5000     51.867  1.665E-05  5.876E-06  8.643E-03  1.843E-01  3.521E-05  2.448E-05  4.023E-05  4.404E-06
   15.7500     55.258  1.351E-05  5.280E-06  8.074E-03  1.780E-01  3.177E-05  2.167E-05  3.655E-05  3.969E-06
   16.0000     58.658  1.059E-05  4.651E-06  7.431E-03  1.704E-01  2.812E-05  1.874E-05  3.256E-05  3.508E-06
