Subject: Wavy Wall Data - x/lambda = 0.0, Uavg
 
 y            v1avg        v1intensity  v1gamma      v1skewness   v1flatness
 
   7.620E-03    1.957E+00    1.447E+00    9.486E-01    8.196E-01    3.839E+00
   1.016E-02    2.683E+00    1.642E+00    9.808E-01    6.644E-01    3.343E+00
   1.270E-02    3.328E+00    1.698E+00    9.955E-01    5.193E-01    3.030E+00
   1.524E-02    3.812E+00    1.725E+00    9.970E-01    3.620E-01    2.950E+00
   1.778E-02    3.666E+00    1.792E+00    9.952E-01    4.520E-01    2.981E+00
   2.032E-02    3.775E+00    1.856E+00    9.955E-01    4.392E-01    2.834E+00
   2.540E-02    4.860E+00    2.041E+00    9.970E-01    7.804E-02    2.630E+00
   3.048E-02    5.347E+00    2.030E+00    9.974E-01    1.483E-02    2.764E+00
   3.556E-02    5.747E+00    2.060E+00    9.969E-01   -1.549E-01    2.892E+00
   4.318E-02    6.048E+00    2.085E+00    9.976E-01   -1.560E-01    2.929E+00
   5.080E-02    6.042E+00    2.075E+00    9.974E-01   -2.103E-01    2.950E+00
   5.842E-02    6.731E+00    2.159E+00    9.980E-01   -2.383E-01    3.135E+00
   6.604E-02    6.770E+00    2.144E+00    9.979E-01   -3.147E-01    3.184E+00
   7.366E-02    6.954E+00    2.051E+00    9.981E-01   -3.649E-01    3.545E+00
   8.128E-02    7.422E+00    2.085E+00    9.980E-01   -5.173E-01    3.681E+00
   9.144E-02    7.096E+00    2.046E+00    9.987E-01   -4.621E-01    3.632E+00
   1.016E-01    7.411E+00    2.046E+00    9.985E-01   -4.784E-01    3.752E+00
   1.118E-01    7.433E+00    2.011E+00    9.986E-01   -4.230E-01    3.844E+00
   1.219E-01    7.518E+00    2.097E+00    9.985E-01   -3.999E-01    3.607E+00
   1.321E-01    7.393E+00    2.011E+00    9.987E-01   -4.846E-01    3.877E+00
   1.422E-01    7.485E+00    2.047E+00    9.986E-01   -4.811E-01    3.911E+00
   1.524E-01    7.643E+00    2.101E+00    9.984E-01   -4.892E-01    3.849E+00
   1.651E-01    7.711E+00    1.999E+00    9.987E-01   -5.750E-01    4.161E+00
   1.778E-01    7.643E+00    2.057E+00    9.977E-01   -5.616E-01    4.143E+00
   2.032E-01    7.618E+00    2.058E+00    9.985E-01   -4.948E-01    4.008E+00
   2.286E-01    7.940E+00    2.124E+00    9.988E-01   -5.301E-01    3.902E+00
   2.540E-01    7.755E+00    2.071E+00    9.980E-01   -6.017E-01    4.174E+00
   3.175E-01    8.104E+00    2.057E+00    9.987E-01   -6.299E-01    4.112E+00
   3.810E-01    7.917E+00    2.148E+00    9.986E-01   -5.866E-01    3.945E+00
   4.572E-01    8.133E+00    2.089E+00    9.989E-01   -7.117E-01    4.188E+00
   5.588E-01    8.721E+00    2.110E+00    9.985E-01   -8.281E-01    4.654E+00
   6.604E-01    8.783E+00    2.059E+00    9.983E-01   -8.889E-01    4.951E+00
   7.620E-01    9.030E+00    2.025E+00    9.991E-01   -8.438E-01    4.912E+00
   8.636E-01    9.132E+00    2.005E+00    9.990E-01   -9.194E-01    5.244E+00
   1.016E+00    9.433E+00    1.945E+00    9.991E-01   -1.065E+00    5.758E+00
   1.107E+00    9.783E+00    1.883E+00    9.992E-01   -1.129E+00    6.291E+00
   1.196E+00    9.912E+00    1.876E+00    9.990E-01   -1.238E+00    6.860E+00
   1.288E+00    9.976E+00    1.739E+00    9.994E-01   -1.261E+00    7.379E+00
   1.379E+00    1.003E+01    1.866E+00    9.990E-01   -1.326E+00    7.030E+00
   1.471E+00    1.010E+01    1.808E+00    9.987E-01   -1.279E+00    7.475E+00
   1.560E+00    1.003E+01    1.846E+00    9.991E-01   -1.355E+00    7.401E+00
   1.651E+00    1.041E+01    1.762E+00    9.993E-01   -1.440E+00    8.098E+00
   1.742E+00    1.048E+01    1.747E+00    9.992E-01   -1.683E+00    9.574E+00
   1.831E+00    1.068E+01    1.749E+00    9.995E-01   -1.709E+00    9.602E+00
   1.923E+00    1.065E+01    1.786E+00    9.995E-01   -1.704E+00    9.428E+00
   2.014E+00    1.060E+01    1.710E+00    9.991E-01   -1.775E+00    1.013E+01
   2.106E+00    1.068E+01    1.771E+00    9.985E-01   -1.900E+00    1.086E+01
   2.195E+00    1.045E+01    1.753E+00    9.969E-01   -1.940E+00    1.144E+01
   2.286E+00    1.038E+01    1.844E+00    9.974E-01   -1.999E+00    1.099E+01
