Subject: Wavy Wall Data - x/lambda = 0.0, Vavg
 
 y            v2avg        v2intensity  v2gamma      v2skewness   v2flatness
 
   7.620E-03    1.996E-01    1.181E+00    5.678E-01   -5.576E-02    4.830E+00
   1.016E-02    1.781E-01    1.215E+00    5.531E-01    1.658E-01    4.814E+00
   1.270E-02    7.883E-02    1.170E+00    5.071E-01    4.706E-01    5.660E+00
   1.524E-02    1.051E-01    1.177E+00    5.063E-01    6.873E-01    6.802E+00
   1.778E-02    1.627E-01    1.226E+00    5.334E-01    5.543E-01    5.964E+00
   2.032E-02    1.735E-02    1.246E+00    4.813E-01    6.419E-01    6.090E+00
   2.540E-02    1.445E-01    1.231E+00    5.276E-01    7.821E-01    7.786E+00
   3.048E-02    2.059E-01    1.232E+00    5.542E-01    7.368E-01    8.086E+00
   3.556E-02    1.049E-01    1.264E+00    5.131E-01    8.344E-01    8.898E+00
   4.318E-02    1.044E-01    1.270E+00    5.159E-01    7.505E-01    8.883E+00
   5.080E-02    1.745E-01    1.316E+00    5.368E-01    8.499E-01    9.325E+00
   5.842E-02    1.124E-01    1.308E+00    5.187E-01    8.851E-01    9.954E+00
   6.604E-02    7.885E-02    1.351E+00    5.121E-01    8.948E-01    9.698E+00
   7.366E-02    2.025E-01    1.411E+00    5.497E-01    8.764E-01    9.085E+00
   8.128E-02    1.128E-01    1.411E+00    5.211E-01    7.951E-01    9.540E+00
   9.144E-02    1.825E-01    1.415E+00    5.463E-01    1.045E+00    9.108E+00
   1.016E-01    1.603E-01    1.414E+00    5.389E-01    9.400E-01    8.960E+00
   1.118E-01    1.583E-01    1.442E+00    5.336E-01    9.663E-01    9.022E+00
   1.219E-01    1.985E-01    1.474E+00    5.454E-01    8.597E-01    8.903E+00
   1.321E-01    2.344E-01    1.524E+00    5.513E-01    1.066E+00    8.834E+00
   1.422E-01    2.060E-01    1.539E+00    5.457E-01    9.696E-01    8.715E+00
   1.524E-01    2.130E-01    1.567E+00    5.473E-01    8.749E-01    7.818E+00
   1.651E-01    2.044E-01    1.564E+00    5.383E-01    8.410E-01    7.849E+00
   1.778E-01    2.432E-01    1.617E+00    5.441E-01    9.091E-01    8.125E+00
   2.032E-01    1.985E-01    1.606E+00    5.361E-01    8.674E-01    7.530E+00
   2.286E-01    2.320E-01    1.674E+00    5.299E-01    9.377E-01    7.504E+00
   2.540E-01    2.306E-01    1.658E+00    5.355E-01    7.815E-01    7.269E+00
   3.175E-01    1.769E-01    1.649E+00    5.203E-01    8.696E-01    7.340E+00
   3.810E-01    2.264E-01    1.717E+00    5.245E-01    9.135E-01    7.213E+00
   4.572E-01    1.234E-01    1.685E+00    4.977E-01    9.489E-01    7.796E+00
   5.588E-01    1.021E-01    1.680E+00    4.961E-01    1.023E+00    8.561E+00
   6.604E-01    1.312E-01    1.680E+00    5.031E-01    9.914E-01    8.524E+00
   7.620E-01    1.029E-01    1.645E+00    4.956E-01    1.189E+00    9.326E+00
   8.636E-01    1.157E-01    1.655E+00    4.978E-01    1.487E+00    1.092E+01
   1.016E+00    1.162E-01    1.614E+00    5.025E-01    1.332E+00    1.076E+01
   1.107E+00    4.982E-02    1.575E+00    4.778E-01    1.517E+00    1.247E+01
   1.196E+00    5.607E-02    1.590E+00    4.747E-01    1.589E+00    1.329E+01
   1.288E+00    1.035E-02    1.520E+00    4.640E-01    1.486E+00    1.270E+01
   1.379E+00    3.611E-02    1.556E+00    4.759E-01    1.464E+00    1.378E+01
   1.471E+00    3.758E-02    1.541E+00    4.756E-01    1.182E+00    1.223E+01
   1.560E+00    9.286E-02    1.610E+00    4.874E-01    1.536E+00    1.400E+01
   1.651E+00    1.448E-02    1.545E+00    4.619E-01    1.702E+00    1.478E+01
   1.742E+00    4.247E-02    1.612E+00    4.664E-01    2.131E+00    1.786E+01
   1.831E+00    1.477E-02    1.604E+00    4.575E-01    2.218E+00    1.907E+01
   1.923E+00    6.483E-02    1.654E+00    4.707E-01    2.341E+00    1.910E+01
   2.014E+00    5.061E-02    1.578E+00    4.727E-01    2.011E+00    1.841E+01
   2.106E+00    5.343E-02    1.575E+00    4.802E-01    1.930E+00    2.082E+01
   2.195E+00    1.749E-02    1.547E+00    4.814E-01    7.335E-01    1.689E+01
   2.286E+00   -4.797E-02    1.504E+00    4.620E-01    9.656E-01    1.614E+01
