Subject: Wavy Wall Data - x/lambda = 0.1, u',v',u'v'
 
 v1` w/o n    v2` w/o n    RS` w/o n    v1` navg     v2` navg     RS navg
 
   6.900E-01    5.123E-01    3.073E-02    0.000E+00    0.000E+00    0.000E+00
   7.593E-01    4.784E-01    3.481E-02    0.000E+00    0.000E+00    0.000E+00
   8.623E-01    5.118E-01    7.205E-02    0.000E+00    0.000E+00    0.000E+00
   9.758E-01    5.462E-01   -6.215E-02    0.000E+00    0.000E+00    0.000E+00
   9.120E-01    5.016E-01    9.008E-02    0.000E+00    0.000E+00    0.000E+00
   9.787E-01    5.191E-01    1.219E-01    0.000E+00    0.000E+00    0.000E+00
   1.082E+00    4.993E-01    1.018E-01    0.000E+00    0.000E+00    0.000E+00
   1.271E+00    4.971E-01    1.974E-01    0.000E+00    0.000E+00    0.000E+00
   1.344E+00    4.896E-01    2.304E-01    0.000E+00    0.000E+00    0.000E+00
   1.380E+00    4.968E-01    2.908E-01    0.000E+00    0.000E+00    0.000E+00
   1.595E+00    5.045E-01    4.208E-01    0.000E+00    0.000E+00    0.000E+00
   1.575E+00    5.179E-01    4.000E-01    0.000E+00    0.000E+00    0.000E+00
   1.743E+00    5.030E-01    5.197E-01    0.000E+00    0.000E+00    0.000E+00
   1.794E+00    4.596E-01    4.753E-01    0.000E+00    0.000E+00    0.000E+00
   1.752E+00    5.131E-01    4.821E-01    0.000E+00    0.000E+00    0.000E+00
   1.710E+00    4.840E-01    4.410E-01    0.000E+00    0.000E+00    0.000E+00
   1.715E+00    4.997E-01    4.867E-01    0.000E+00    0.000E+00    0.000E+00
   1.761E+00    5.293E-01    5.008E-01    0.000E+00    0.000E+00    0.000E+00
   1.794E+00    5.304E-01    5.098E-01    0.000E+00    0.000E+00    0.000E+00
   1.771E+00    5.510E-01    4.802E-01    0.000E+00    0.000E+00    0.000E+00
   1.618E+00    5.591E-01    4.406E-01    0.000E+00    0.000E+00    0.000E+00
   1.743E+00    6.166E-01    4.861E-01    0.000E+00    0.000E+00    0.000E+00
   1.643E+00    6.195E-01    4.541E-01    0.000E+00    0.000E+00    0.000E+00
   1.574E+00    6.364E-01    4.166E-01    0.000E+00    0.000E+00    0.000E+00
   1.515E+00    7.221E-01    4.285E-01    0.000E+00    0.000E+00    0.000E+00
   1.482E+00    7.511E-01    4.496E-01    0.000E+00    0.000E+00    0.000E+00
   1.417E+00    7.825E-01    3.990E-01    0.000E+00    0.000E+00    0.000E+00
   1.530E+00    8.461E-01    5.319E-01    0.000E+00    0.000E+00    0.000E+00
   1.531E+00    9.208E-01    5.197E-01    0.000E+00    0.000E+00    0.000E+00
   1.575E+00    9.370E-01    5.828E-01    0.000E+00    0.000E+00    0.000E+00
   1.483E+00    9.003E-01    5.826E-01    0.000E+00    0.000E+00    0.000E+00
   1.521E+00    8.889E-01    6.111E-01    0.000E+00    0.000E+00    0.000E+00
   1.544E+00    8.820E-01    6.310E-01    0.000E+00    0.000E+00    0.000E+00
   1.447E+00    7.928E-01    5.924E-01    0.000E+00    0.000E+00    0.000E+00
   1.505E+00    7.535E-01    5.637E-01    0.000E+00    0.000E+00    0.000E+00
   1.376E+00    7.818E-01    5.568E-01    0.000E+00    0.000E+00    0.000E+00
   1.216E+00    7.119E-01    3.477E-01    0.000E+00    0.000E+00    0.000E+00
   1.173E+00    7.155E-01    3.587E-01    0.000E+00    0.000E+00    0.000E+00
   1.307E+00    7.098E-01    4.587E-01    0.000E+00    0.000E+00    0.000E+00
   1.239E+00    7.246E-01    4.254E-01    0.000E+00    0.000E+00    0.000E+00
   1.203E+00    6.699E-01    3.519E-01    0.000E+00    0.000E+00    0.000E+00
   1.166E+00    6.656E-01    3.990E-01    0.000E+00    0.000E+00    0.000E+00
   1.149E+00    7.346E-01    4.193E-01    0.000E+00    0.000E+00    0.000E+00
   1.152E+00    6.977E-01    4.152E-01    0.000E+00    0.000E+00    0.000E+00
   1.000E+00    6.036E-01    2.642E-01    0.000E+00    0.000E+00    0.000E+00
   1.040E+00    6.501E-01    3.119E-01    0.000E+00    0.000E+00    0.000E+00
   9.240E-01    6.247E-01    2.398E-01    0.000E+00    0.000E+00    0.000E+00
   1.107E+00    8.620E-01    3.589E-01    0.000E+00    0.000E+00    0.000E+00
   1.778E+00    1.521E+00    3.798E-01    0.000E+00    0.000E+00    0.000E+00
