Subject: Wavy Wall Data - x/lambda = 0.5, vavg
 
 y            v2avg        v2intensity  v2gamma      v2skewness   v2flatness
 
   7.620E-03   -3.840E-02    6.829E-01    4.840E-01   -2.313E-01    1.054E+01
   1.016E-02   -4.910E-02    7.146E-01    4.717E-01   -3.729E-01    1.063E+01
   1.270E-02   -3.174E-02    6.549E-01    4.798E-01   -1.621E-01    8.002E+00
   1.524E-02   -4.372E-02    6.805E-01    4.692E-01   -5.155E-01    1.006E+01
   1.778E-02   -6.874E-02    7.107E-01    4.726E-01   -7.062E-01    9.451E+00
   2.032E-02   -5.768E-02    6.961E-01    4.714E-01   -4.550E-01    9.016E+00
   2.540E-02   -6.398E-02    6.948E-01    4.607E-01   -1.650E-01    9.050E+00
   3.048E-02   -1.015E-01    7.020E-01    4.444E-01   -1.786E-01    7.429E+00
   3.556E-02   -7.644E-02    7.280E-01    4.572E-01   -2.382E-01    6.028E+00
   4.318E-02   -1.246E-01    7.748E-01    4.334E-01   -2.909E-01    7.712E+00
   5.080E-02   -8.404E-02    8.326E-01    4.661E-01   -3.424E-01    6.393E+00
   5.842E-02   -1.220E-01    8.661E-01    4.562E-01   -8.024E-01    1.082E+01
   6.604E-02   -9.834E-02    8.607E-01    4.596E-01   -2.102E-01    5.293E+00
   7.366E-02   -1.535E-01    9.269E-01    4.381E-01   -4.652E-01    5.547E+00
   8.128E-02   -1.537E-01    9.287E-01    4.396E-01   -2.538E-01    5.194E+00
   9.144E-02   -1.338E-01    9.775E-01    4.511E-01   -3.328E-01    5.249E+00
   1.016E-01   -1.260E-01    9.865E-01    4.450E-01   -2.317E-01    4.816E+00
   1.118E-01   -2.529E-01    1.070E+00    4.075E-01   -2.487E-01    4.088E+00
   1.219E-01   -1.430E-01    1.060E+00    4.615E-01   -4.115E-01    4.650E+00
   1.321E-01   -2.531E-01    1.136E+00    4.189E-01   -3.168E-01    4.889E+00
   1.422E-01   -2.542E-01    1.150E+00    4.154E-01   -3.039E-01    4.088E+00
   1.524E-01   -2.547E-01    1.231E+00    4.385E-01   -4.901E-01    4.926E+00
   1.651E-01   -3.201E-01    1.268E+00    4.136E-01   -4.314E-01    4.473E+00
   1.778E-01   -3.162E-01    1.276E+00    4.136E-01   -3.050E-01    3.633E+00
   2.032E-01   -4.090E-01    1.302E+00    3.840E-01   -2.369E-01    3.467E+00
   2.286E-01   -2.981E-01    1.326E+00    4.247E-01   -2.517E-01    3.599E+00
   2.540E-01   -2.412E-01    1.282E+00    4.389E-01   -2.904E-01    3.687E+00
   3.175E-01   -2.570E-01    1.403E+00    4.398E-01   -1.811E-01    3.560E+00
   3.810E-01   -4.227E-01    1.496E+00    3.895E-01   -2.175E-02    3.492E+00
   4.572E-01   -3.266E-01    1.490E+00    4.027E-01    1.667E-01    3.948E+00
   5.588E-01   -3.708E-01    1.468E+00    3.710E-01    4.158E-01    4.423E+00
   6.604E-01   -3.418E-01    1.441E+00    3.791E-01    5.067E-01    5.864E+00
   7.620E-01   -2.473E-01    1.408E+00    3.947E-01    7.987E-01    6.739E+00
   8.636E-01   -2.291E-01    1.397E+00    4.146E-01    5.240E-01    6.703E+00
   1.016E+00   -1.679E-01    1.447E+00    4.301E-01    8.742E-01    7.766E+00
   1.143E+00   -9.100E-02    1.429E+00    4.514E-01    9.669E-01    7.973E+00
   1.270E+00   -1.247E-01    1.411E+00    4.356E-01    9.771E-01    7.979E+00
   1.394E+00   -7.318E-02    1.464E+00    4.481E-01    1.154E+00    9.559E+00
   1.521E+00   -1.048E-01    1.425E+00    4.391E-01    1.173E+00    1.009E+01
   1.648E+00   -4.517E-02    1.483E+00    4.540E-01    1.538E+00    1.149E+01
   1.775E+00   -4.043E-02    1.486E+00    4.541E-01    1.548E+00    1.168E+01
   1.902E+00   -4.868E-02    1.437E+00    4.457E-01    1.438E+00    1.166E+01
   2.027E+00   -3.873E-03    1.456E+00    4.601E-01    1.702E+00    1.313E+01
   2.154E+00   -5.857E-02    1.465E+00    4.350E-01    1.841E+00    1.364E+01
   2.281E+00   -1.063E-02    1.500E+00    4.524E-01    2.193E+00    1.656E+01
   2.408E+00    8.599E-03    1.513E+00    4.559E-01    2.249E+00    1.789E+01
   2.532E+00   -5.303E-02    1.409E+00    4.453E-01    2.297E+00    2.043E+01
   2.659E+00   -6.207E-02    1.313E+00    4.547E-01    1.749E+00    1.911E+01
   2.786E+00   -8.973E-02    1.301E+00    4.415E-01    2.013E+00    2.157E+01
