Subject: Wavy Wall Data - x/lambda = 0.8, uavg
 
 y            v1avg        v1intensity  v1gamma      v1skewness   v1flatness
 
   7.620E-03    4.087E+00    1.738E+00    9.989E-01    3.563E-01    2.938E+00
   1.016E-02    4.214E+00    1.795E+00    9.983E-01    3.635E-01    2.889E+00
   1.270E-02    4.547E+00    1.842E+00    9.989E-01    2.365E-01    2.726E+00
   1.524E-02    4.651E+00    1.868E+00    9.992E-01    2.623E-01    2.814E+00
   1.778E-02    4.626E+00    1.867E+00    9.993E-01    2.694E-01    2.828E+00
   2.032E-02    4.457E+00    1.856E+00    9.990E-01    3.907E-01    2.928E+00
   2.540E-02    4.903E+00    1.832E+00    9.989E-01    1.487E-01    2.815E+00
   3.048E-02    5.047E+00    1.773E+00    9.994E-01    8.569E-02    2.847E+00
   3.556E-02    4.957E+00    1.858E+00    9.990E-01    2.032E-01    2.862E+00
   4.318E-02    5.226E+00    1.836E+00    9.994E-01    7.599E-02    2.927E+00
   5.080E-02    5.356E+00    1.808E+00    9.990E-01    3.761E-02    2.881E+00
   5.842E-02    5.367E+00    1.884E+00    9.994E-01    9.593E-02    2.837E+00
   6.604E-02    5.636E+00    1.841E+00    9.993E-01    3.048E-02    3.044E+00
   7.366E-02    5.587E+00    1.830E+00    9.992E-01    5.228E-03    3.006E+00
   8.128E-02    5.659E+00    1.826E+00    9.995E-01    1.025E-02    3.062E+00
   9.144E-02    5.575E+00    1.907E+00    9.991E-01   -2.067E-02    2.794E+00
   1.016E-01    5.847E+00    1.942E+00    9.994E-01    4.083E-02    2.924E+00
   1.118E-01    5.838E+00    1.834E+00    9.994E-01   -2.958E-02    3.175E+00
   1.219E-01    5.814E+00    1.877E+00    9.995E-01    1.016E-04    3.046E+00
   1.321E-01    5.670E+00    1.878E+00    9.995E-01    6.825E-02    2.963E+00
   1.422E-01    6.111E+00    1.904E+00    9.995E-01   -6.841E-02    2.950E+00
   1.524E-01    5.831E+00    1.939E+00    9.993E-01    1.059E-02    2.890E+00
   1.651E-01    6.092E+00    1.918E+00    9.992E-01   -1.513E-03    3.076E+00
   1.778E-01    6.068E+00    1.916E+00    9.995E-01   -3.360E-02    2.984E+00
   2.032E-01    5.887E+00    2.030E+00    9.989E-01    3.988E-02    2.870E+00
   2.286E-01    6.385E+00    2.051E+00    9.995E-01   -1.025E-01    2.873E+00
   2.540E-01    6.575E+00    2.096E+00    9.996E-01   -5.874E-02    2.874E+00
   3.175E-01    6.850E+00    2.131E+00    9.994E-01   -2.084E-01    2.859E+00
   3.810E-01    7.096E+00    2.148E+00    9.994E-01   -2.463E-01    3.099E+00
   4.572E-01    7.505E+00    2.059E+00    9.994E-01   -4.230E-01    3.380E+00
   5.588E-01    8.101E+00    2.075E+00    9.995E-01   -5.239E-01    3.600E+00
   6.706E-01    8.284E+00    1.865E+00    9.998E-01   -4.282E-01    3.962E+00
   7.722E-01    8.218E+00    1.920E+00    9.999E-01   -4.421E-01    3.664E+00
   8.738E-01    8.897E+00    1.801E+00    9.998E-01   -5.580E-01    4.172E+00
   1.041E+00    9.216E+00    1.810E+00    9.999E-01   -6.021E-01    4.404E+00
   1.125E+00    9.493E+00    1.660E+00    9.999E-01   -7.580E-01    5.172E+00
   1.222E+00    9.695E+00    1.831E+00    9.999E-01   -7.528E-01    4.559E+00
   1.321E+00    9.929E+00    1.705E+00    1.000E+00   -8.926E-01    5.512E+00
   1.417E+00    9.828E+00    1.775E+00    9.999E-01   -7.054E-01    4.613E+00
   1.516E+00    9.976E+00    1.660E+00    9.999E-01   -8.689E-01    5.648E+00
   1.613E+00    1.037E+01    1.599E+00    9.999E-01   -8.823E-01    5.856E+00
   1.712E+00    1.041E+01    1.625E+00    1.000E+00   -9.715E-01    5.928E+00
   1.808E+00    1.052E+01    1.647E+00    1.000E+00   -1.068E+00    6.440E+00
   1.908E+00    1.046E+01    1.648E+00    9.999E-01   -1.102E+00    6.627E+00
   2.004E+00    1.068E+01    1.630E+00    1.000E+00   -1.372E+00    7.931E+00
   2.103E+00    1.079E+01    1.522E+00    9.999E-01   -1.205E+00    7.722E+00
   2.200E+00    1.065E+01    1.498E+00    9.997E-01   -1.267E+00    8.434E+00
   2.299E+00    1.078E+01    1.549E+00    9.999E-01   -1.174E+00    7.980E+00
   2.395E+00    1.079E+01    1.443E+00    1.000E+00   -1.397E+00    1.007E+01
