Photolysis rate coefficients, s-1
   1 = O3 -> O2 + O(1D)                                  
   2 = H2O2 -> 2 OH                                      
   3 = NO2 -> NO + O(3P)                                 
   4 = NO3 -> NO2 + O(3P)                                
   5 = N2O5 -> NO3 + NO2                                 
   6 = CH2O -> H + HCO                                   
   7 = CH2O -> H2 + CO                                   
   8 = CH3OOH -> CH3O + OH                               
values at z =      0.500 km
Columns: time, sza, photo-reactions
time, hrs.  sza, deg.          1          2          3          4          5          6          7          8
    0.0000    127.967  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    0.2500    127.786  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    0.5000    127.361  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    0.7500    126.695  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    1.0000    125.798  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    1.2500    124.682  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    1.5000    123.360  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    1.7500    121.845  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    2.0000    120.153  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    2.2500    118.299  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    2.5000    116.296  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    2.7500    114.159  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    3.0000    111.900  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    3.2500    109.531  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    3.5000    107.065  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    3.7500    104.509  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    4.0000    101.874  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    4.2500     99.168  3.864E-13  1.455E-12  5.034E-09  1.534E-07  9.895E-12  2.623E-12  1.081E-11  1.165E-12
    4.5000     96.397  8.230E-11  1.057E-10  2.499E-07  2.577E-06  6.763E-10  2.695E-10  8.146E-10  8.286E-11
    4.7500     93.569  3.818E-09  4.293E-09  9.890E-06  1.199E-04  2.735E-08  1.145E-08  3.292E-08  3.355E-09
    5.0000     90.689  2.749E-08  4.005E-08  1.018E-04  2.125E-03  2.588E-07  9.927E-08  3.077E-07  3.146E-08
    5.2500     87.763  9.262E-08  1.468E-07  3.632E-04  9.774E-03  9.439E-07  3.894E-07  1.137E-06  1.150E-07
    5.5000     84.796  2.217E-07  3.288E-07  7.787E-04  2.939E-02  2.097E-06  9.567E-07  2.535E-06  2.562E-07
    5.7500     81.792  4.505E-07  5.942E-07  1.381E-03  5.496E-02  3.774E-06  1.848E-06  4.519E-06  4.612E-07
    6.0000     78.755  8.321E-07  9.541E-07  2.152E-03  7.922E-02  6.028E-06  3.116E-06  7.159E-06  7.379E-07
    6.2500     75.688  1.437E-06  1.406E-06  3.018E-03  1.002E-01  8.816E-06  4.802E-06  1.043E-05  1.083E-06
    6.5000     72.595  2.326E-06  1.930E-06  3.905E-03  1.178E-01  1.200E-05  6.868E-06  1.417E-05  1.480E-06
    6.7500     69.480  3.548E-06  2.501E-06  4.769E-03  1.325E-01  1.544E-05  9.227E-06  1.818E-05  1.911E-06
    7.0000     66.344  5.127E-06  3.101E-06  5.583E-03  1.448E-01  1.901E-05  1.180E-05  2.230E-05  2.359E-06
    7.2500     63.191  7.063E-06  3.709E-06  6.337E-03  1.552E-01  2.260E-05  1.449E-05  2.638E-05  2.811E-06
    7.5000     60.023  9.333E-06  4.313E-06  7.024E-03  1.640E-01  2.613E-05  1.723E-05  3.034E-05  3.258E-06
    7.7500     56.844  1.190E-05  4.902E-06  7.646E-03  1.715E-01  2.956E-05  1.995E-05  3.411E-05  3.690E-06
    8.0000     53.655  1.470E-05  5.468E-06  8.204E-03  1.779E-01  3.283E-05  2.260E-05  3.764E-05  4.104E-06
    8.2500     50.461  1.769E-05  6.005E-06  8.702E-03  1.833E-01  3.593E-05  2.516E-05  4.093E-05  4.495E-06
    8.5000     47.263  2.081E-05  6.509E-06  9.144E-03  1.880E-01  3.882E-05  2.758E-05  4.395E-05  4.860E-06
    8.7500     44.066  2.398E-05  6.979E-06  9.534E-03  1.919E-01  4.151E-05  2.985E-05  4.671E-05  5.200E-06
    9.0000     40.874  2.711E-05  7.405E-06  9.870E-03  1.952E-01  4.393E-05  3.193E-05  4.916E-05  5.506E-06
    9.2500     37.691  3.020E-05  7.799E-06  1.017E-02  1.980E-01  4.617E-05  3.386E-05  5.139E-05  5.789E-06
    9.5000     34.525  3.325E-05  8.158E-06  1.043E-02  2.003E-01  4.821E-05  3.562E-05  5.338E-05  6.045E-06
    9.7500     31.383  3.614E-05  8.488E-06  1.066E-02  2.024E-01  5.007E-05  3.725E-05  5.520E-05  6.281E-06
   10.0000     28.278  3.880E-05  8.772E-06  1.085E-02  2.040E-01  5.168E-05  3.866E-05  5.673E-05  6.483E-06
   10.2500     25.227  4.121E-05  9.019E-06  1.101E-02  2.053E-01  5.307E-05  3.989E-05  5.805E-05  6.659E-06
   10.5000     22.255  4.336E-05  9.231E-06  1.115E-02  2.064E-01  5.426E-05  4.094E-05  5.916E-05  6.809E-06
   10.7500     19.402  4.521E-05  9.407E-06  1.126E-02  2.072E-01  5.525E-05  4.183E-05  6.008E-05  6.934E-06
   11.0000     16.731  4.673E-05  9.549E-06  1.134E-02  2.079E-01  5.605E-05  4.253E-05  6.082E-05  7.035E-06
   11.2500     14.348  4.792E-05  9.658E-06  1.141E-02  2.084E-01  5.666E-05  4.308E-05  6.137E-05  7.111E-06
   11.5000     12.422  4.875E-05  9.733E-06  1.145E-02  2.087E-01  5.708E-05  4.345E-05  6.176E-05  7.164E-06
   11.7500     11.194  4.923E-05  9.775E-06  1.147E-02  2.089E-01  5.731E-05  4.366E-05  6.197E-05  7.194E-06
   12.0000     10.902  4.933E-05  9.784E-06  1.148E-02  2.089E-01  5.737E-05  4.371E-05  6.202E-05  7.200E-06
   12.2500     11.618  4.907E-05  9.761E-06  1.147E-02  2.088E-01  5.723E-05  4.359E-05  6.190E-05  7.184E-06
   12.5000     13.179  4.844E-05  9.704E-06  1.143E-02  2.086E-01  5.692E-05  4.331E-05  6.161E-05  7.144E-06
   12.7500     15.326  4.745E-05  9.615E-06  1.138E-02  2.082E-01  5.642E-05  4.286E-05  6.116E-05  7.081E-06
   13.0000     17.849  4.612E-05  9.492E-06  1.131E-02  2.076E-01  5.573E-05  4.225E-05  6.052E-05  6.994E-06
   13.2500     20.608  4.445E-05  9.335E-06  1.121E-02  2.069E-01  5.485E-05  4.147E-05  5.971E-05  6.883E-06
   13.5000     23.517  4.247E-05  9.144E-06  1.109E-02  2.060E-01  5.377E-05  4.051E-05  5.871E-05  6.748E-06
   13.7500     26.526  4.021E-05  8.917E-06  1.095E-02  2.048E-01  5.250E-05  3.938E-05  5.751E-05  6.587E-06
   14.0000     29.603  3.769E-05  8.654E-06  1.077E-02  2.033E-01  5.101E-05  3.808E-05  5.610E-05  6.400E-06
   14.2500     32.724  3.494E-05  8.354E-06  1.057E-02  2.016E-01  4.932E-05  3.660E-05  5.447E-05  6.186E-06
   14.5000     35.876  3.196E-05  8.008E-06  1.032E-02  1.994E-01  4.736E-05  3.488E-05  5.256E-05  5.938E-06
   14.7500     39.049  2.890E-05  7.635E-06  1.005E-02  1.968E-01  4.524E-05  3.305E-05  5.047E-05  5.671E-06
   15.0000     42.235  2.581E-05  7.231E-06  9.735E-03  1.939E-01  4.294E-05  3.108E-05  4.817E-05  5.381E-06
   15.2500     45.429  2.262E-05  6.783E-06  9.373E-03  1.903E-01  4.038E-05  2.890E-05  4.556E-05  5.058E-06
   15.5000     48.625  1.947E-05  6.298E-06  8.961E-03  1.861E-01  3.761E-05  2.656E-05  4.269E-05  4.707E-06
   15.7500     51.820  1.640E-05  5.779E-06  8.496E-03  1.811E-01  3.463E-05  2.408E-05  3.956E-05  4.331E-06
   16.0000     55.010  1.348E-05  5.230E-06  7.973E-03  1.753E-01  3.146E-05  2.148E-05  3.617E-05  3.930E-06
   16.2500     58.193  1.078E-05  4.654E-06  7.389E-03  1.684E-01  2.812E-05  1.880E-05  3.253E-05  3.508E-06
   16.5000     61.366  8.332E-06  4.058E-06  6.740E-03  1.604E-01  2.464E-05  1.607E-05  2.868E-05  3.070E-06
   16.7500     64.525  6.202E-06  3.452E-06  6.026E-03  1.510E-01  2.108E-05  1.334E-05  2.466E-05  2.620E-06
   17.0000     67.668  4.416E-06  2.845E-06  5.246E-03  1.398E-01  1.749E-05  1.069E-05  2.056E-05  2.169E-06
   17.2500     70.793  2.991E-06  2.256E-06  4.410E-03  1.266E-01  1.397E-05  8.201E-06  1.647E-05  1.726E-06
   17.5000     73.896  1.914E-06  1.702E-06  3.533E-03  1.108E-01  1.062E-05  5.956E-06  1.256E-05  1.308E-06
   17.7500     76.975  1.153E-06  1.207E-06  2.649E-03  9.184E-02  7.592E-06  4.048E-06  8.994E-06  9.312E-07
   18.0000     80.026  6.504E-07  7.924E-07  1.815E-03  6.947E-02  5.018E-06  2.539E-06  5.977E-06  6.138E-07
   18.2500     83.046  3.401E-07  4.727E-07  1.107E-03  4.421E-02  3.007E-06  1.434E-06  3.617E-06  3.674E-07
   18.5000     86.031  1.585E-07  2.439E-07  5.859E-04  1.990E-02  1.560E-06  6.848E-07  1.888E-06  1.905E-07
   18.7500     88.976  5.966E-08  9.383E-08  2.370E-04  5.547E-03  6.054E-07  2.396E-07  7.248E-07  7.365E-08
   19.0000     91.878  1.406E-08  1.851E-08  4.600E-05  8.250E-04  1.192E-07  4.630E-08  1.419E-07  1.453E-08
   19.2500     94.732  1.080E-09  1.216E-09  2.685E-06  2.561E-05  7.705E-09  3.327E-09  9.383E-09  9.486E-10
   19.5000     97.531  1.760E-11  1.453E-11  3.396E-08  6.669E-07  9.252E-11  4.153E-11  1.079E-10  1.131E-11
   19.7500    100.269  5.011E-18  3.246E-16  5.083E-12  2.915E-09  3.550E-15  2.151E-17  6.385E-16  2.380E-16
   20.0000    102.940  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   20.2500    105.536  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   20.5000    108.048  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   20.7500    110.467  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   21.0000    112.783  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   21.2500    114.983  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   21.5000    117.057  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
   21.7500    118.989  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
