id         x                    y             z
1  1.59336755063490E+02 4.57235181896313E+01  1.6
2  1.50133668384723E+02 4.54463889160954E+01  1.6
3  1.41371856535249E+02 4.51748514677752E+01  1.6
4  1.22866824970585E+02 4.48779341563372E+01  1.6
5  1.13123605255394E+02 4.48525542932194E+01  1.6
6  1.03042553959110E+02 4.46122300311200E+01  1.6
7  9.29615026628255E+01 4.43719057690207E+01  1.6
8  8.22100930815059E+01 4.39964333015961E+01  1.6
9  7.14586835001864E+01 4.36209608341716E+01  1.6
10 4.82719339130331E+01 4.33973403748989E+01  1.6
11 3.85805555498833E+01 4.32807255779184E+01  1.6
12 2.88891771867334E+01 4.31641107809380E+01  1.6
13 1.67366008334726E+02 7.67564685910642E+01  1.6
14 1.48801172039356E+02 7.64203001176094E+01  1.6
15 1.30594966762780E+02 7.63083357970465E+01  1.6
16 1.12171269032588E+02 7.60536109415742E+01  1.6
17 1.01203219873548E+02 7.60907614491631E+01  1.6
18 8.06038391350498E+01 7.55200757268665E+01  1.6
19 7.09725075555922E+01 7.49122394969811E+01  1.6
20 4.77670582877647E+01 7.41073093662624E+01  1.6
21 2.80388545456316E+01 7.35363538429525E+01  1.6
22 1.66758737627923E+02 1.07104705901847E+02  1.6
23 1.47582793216224E+02 1.06730003527004E+02  1.6
24 1.29311566533418E+02 1.05923553007707E+02  1.6
25 1.08059500758630E+02 1.05712416294792E+02  1.6
26 8.94308431725255E+01 1.05948795535067E+02  1.6
27 6.98757989044195E+01 1.05717032204008E+02  1.6
28 4.65831153906418E+01 1.04932639412431E+02  1.6
29 2.68309054889098E+01 1.04075342760175E+02  1.6
30 4.55421784274257E+00 1.05261356989791E+02  1.6
31 1.74700521094260E+02 1.37820149942586E+02  1.6
32 1.45866895785432E+02 1.37174008941427E+02  1.6
33 1.27830965569063E+02 1.36798662288136E+02  1.6
34 1.07510059749430E+02 1.36383317773487E+02  1.6
35 9.79021436210527E+01 1.36221469278061E+02  1.6
36 8.82942274926756E+01 1.36059620782635E+02  1.6
37 6.85725762249217E+01 1.35675553562972E+02  1.6
38 5.76481091843151E+01 1.35652953979684E+02  1.6
39 4.67236421437085E+01 1.35630354396395E+02  1.6
40 2.69482467105819E+01 1.35070953927502E+02  1.6
41 9.02351707145074E+01 7.61279119567519E+01 16.0
42 9.02351707145074E+01 7.61279119567519E+01 12.0
43 9.02351707145074E+01 7.61279119567519E+01 10.0
44 9.02351707145074E+01 7.61279119567519E+01  8.0
45 9.02351707145074E+01 7.61279119567519E+01  6.0
46 9.02351707145074E+01 7.61279119567519E+01  4.0
47 9.02351707145074E+01 7.61279119567519E+01  2.0
48 9.02351707145074E+01 7.61279119567519E+01  1.0
