ALT	PRESS	TEMP	RH	SPEED	DIR	POTT	VIRPOT	Ri
1308	868.1825	25.24	19.3125	0.05	274.2393824	310.7001842	311.4116981	
1310	868.025	25.51	19.315	0.1	266.5946912	310.9974601	311.7204558	7.807708804
1312	867.805	25.85	19.345	0.5	254.5137418	311.3740787	312.112825	0.154380246
1313	867.67	26.06	19.37	0.9	246.5946912	311.606633	312.3555149	0.047629912
1315	867.49	26.11	19.39	1.1	241.7946912	311.6771982	312.4292258	0.115601366
1316	867.4	26.33	19.43	1.5	238.1346863	311.9155821	312.6788904	0.048779873
1317	867.27	26.57	19.47	1.8	232.316898	312.1789297	312.9546144	0.095724445
1320	867.05	26.76	19.51	2	229.8946912	312.3994942	313.1855837	0.540826284
1321	866.915	26.965	19.55	2.3	229.3381694	312.6269555	313.4241622	0.082571328
1322	866.8	27.26	19.59	2.7	229.1946912	312.9461256	313.7587578	0.065108849
1323	866.7	27.47	19.63	2.9	228.8946912	313.1752225	313.9995099	0.186807268
1325	866.525	27.73	19.66	3.3	228.1946912	313.4641856	314.3023498	0.117709529
1327	866.34	27.9	19.74	3.6	228.6946912	313.6604482	314.5104939	0.142049267
1328	866.26	28.1	19.78	3.8	229.2539018	313.8771159	314.7387903	0.176303165
1329	866.12	28.25	19.83	4	230.5946912	314.0479196	314.9193965	0.13891425
1330	866.05	28.43	19.88	4.1	231.3946912	314.2427369	315.1255338	0.633399966
1331	865.91	28.56	19.94	4.1	231.4946912	314.3927314	315.2849778	
1333	865.77	28.7	19.99	4.1	232.0946912	314.5531624	315.4550104	
1334	865.635	28.9	20.045	4.25	233.0441029	314.7756188	315.6905043	0.320949624
1336	865.44	29.13	20.14	4.45	233.7486238	315.0356064	315.967223	0.421664337
1338	865.235	29.335	20.255	4.55	235.4001858	315.2706172	316.2188405	1.523588198
1340	865.08	29.48	20.31	4.7	237.1946912	315.4379083	316.3968025	0.481794765
1341	864.955	29.545	20.415	4.85	238.496753	315.5186987	316.4863014	0.116312373
