    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0009   1.000E+01   0.1333   0.0194   0.000E+00   2.00000000E+00   2.00000000E+00
      50           500    28.4641   1.000E+01   0.1521   0.0151   4.888E-18   1.99508996E+00   1.99051071E+00
     100          1000    29.3778   1.000E+01   0.1660   0.0159   5.262E-18   1.99087770E+00   1.98276112E+00
     150          1500    33.7415   1.000E+01   0.1773   0.0194   5.151E-18   1.98719280E+00   1.97630651E+00
     200          2000    34.7083   1.000E+01   0.1830   0.0193   5.040E-18   1.98383841E+00   1.96998465E+00
     250          2500    36.4948   1.000E+01   0.1804   0.0182   5.288E-18   1.98068190E+00   1.96299448E+00
     300          3000    14.4453   1.000E+01   0.1783   0.0166   5.043E-18   1.97773332E+00   1.95585376E+00
     350          3500    12.1435   1.000E+01   0.1650   0.0152   4.747E-18   1.97506602E+00   1.94922285E+00
     400          4000    13.2128   1.000E+01   0.1593   0.0146   4.908E-18   1.97181258E+00   1.94190479E+00
     450          4500    13.4295   1.000E+01   0.1567   0.0159   4.863E-18   1.96788422E+00   1.93387889E+00
     500          5000    13.6200   1.000E+01   0.1525   0.0176   4.679E-18   1.96400695E+00   1.92631170E+00
     550          5500    13.6177   1.000E+01   0.1609   0.0195   5.028E-18   1.96033034E+00   1.91940779E+00
     600          6000    13.4964   1.000E+01   0.1665   0.0223   4.924E-18   1.95684076E+00   1.91332725E+00
     650          6500    13.6296   1.000E+01   0.1886   0.0308   5.101E-18   1.95334495E+00   1.90832140E+00
     700          7000    14.2095   1.000E+01   0.1986   0.0364   5.029E-18   1.94946907E+00   1.90342344E+00
     750          7500    14.0432   1.000E+01   0.2076   0.0345   4.850E-18   1.94511801E+00   1.89541021E+00
     800          8000    13.4799   1.000E+01   0.1951   0.0368   5.020E-18   1.94075859E+00   1.88514095E+00
     850          8500    14.1136   1.000E+01   0.1912   0.0394   5.030E-18   1.93682640E+00   1.87695729E+00
     900          9000    13.9922   1.000E+01   0.2051   0.0396   4.810E-18   1.93339866E+00   1.87174425E+00
     950          9500    14.4015   1.000E+01   0.2112   0.0421   6.046E-18   1.93032110E+00   1.86728406E+00
    1000         10000    14.5854   1.000E+01   0.2187   0.0496   6.241E-18   1.92743414E+00   1.86187833E+00
    1050         10500    13.4698   1.000E+01   0.2188   0.0486   5.607E-18   1.92470535E+00   1.85613055E+00
    1080         10800     8.6468   1.000E+01   0.2387   0.0503   5.676E-18   1.92312770E+00   1.85306555E+00
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
