Photolysis rate coefficients, s-1
   1 = O3 -> O2 + O(1D)                                  
   2 = H2O2 -> 2 OH                                      
   3 = NO2 -> NO + O(3P)                                 
   4 = NO3 -> NO2 + O(3P)                                
   5 = N2O5 -> NO3 + NO2                                 
   6 = CH2O -> H + HCO                                   
   7 = CH2O -> H2 + CO                                   
   8 = CH3OOH -> CH3O + OH                               
values at z =      0.500 km
Columns: time, sza, photo-reactions
time, hrs.  sza, deg.          1          2          3          4          5          6          7          8
    0.0000    106.410  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    0.2500    105.742  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    0.5000    104.938  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    0.7500    104.001  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    1.0000    102.938  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    1.2500    101.754  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
    1.5000    100.456  1.038E-20  6.054E-18  1.390E-13  8.195E-10  8.856E-17  3.639E-20  2.315E-18  3.243E-18
    1.7500     99.049  6.125E-13  1.890E-12  6.102E-09  1.833E-07  1.268E-11  3.841E-12  1.417E-11  1.506E-12
    2.0000     97.541  1.743E-11  1.436E-11  3.354E-08  6.623E-07  9.141E-11  4.110E-11  1.065E-10  1.117E-11
    2.2500     95.938  1.788E-10  2.274E-10  5.228E-07  4.896E-06  1.450E-09  5.925E-10  1.760E-09  1.781E-10
    2.5000     94.246  1.914E-09  2.115E-09  4.722E-06  4.887E-05  1.342E-08  5.771E-09  1.627E-08  1.651E-09
    2.7500     92.472  9.578E-09  1.188E-08  2.897E-05  4.610E-04  7.634E-08  3.019E-08  9.099E-08  9.319E-09
    3.0000     90.622  2.838E-08  4.152E-08  1.056E-04  2.218E-03  2.683E-07  1.030E-07  3.191E-07  3.262E-08
    3.2500     88.702  6.630E-08  1.047E-07  2.634E-04  6.318E-03  6.753E-07  2.696E-07  8.096E-07  8.217E-08
    3.5000     86.719  1.294E-07  2.024E-07  4.914E-04  1.534E-02  1.297E-06  5.558E-07  1.568E-06  1.583E-07
    3.7500     84.677  2.286E-07  3.377E-07  7.990E-04  3.036E-02  2.153E-06  9.857E-07  2.603E-06  2.631E-07
    4.0000     82.584  3.781E-07  5.157E-07  1.204E-03  4.820E-02  3.279E-06  1.580E-06  3.937E-06  4.006E-07
    4.2500     80.444  5.979E-07  7.428E-07  1.708E-03  6.614E-02  4.707E-06  2.364E-06  5.613E-06  5.756E-07
