    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0003   2.000E+01   0.6667   0.1143   0.000E+00   5.00000000E+00   1.25000000E+01
      50          1000   676.5428   2.000E+01   0.7240   0.1415   1.061E-17   4.94389124E+00   1.22566573E+01
     100          2000   546.3019   2.000E+01   0.7358   0.1545   1.067E-17   4.90959265E+00   1.21173518E+01
     150          3000   597.2176   2.000E+01   0.7180   0.1622   1.069E-17   4.88179584E+00   1.20059897E+01
     200          4000   594.4885   2.000E+01   0.6913   0.1545   1.067E-17   4.85668108E+00   1.19086340E+01
     250          5000   620.2490   2.000E+01   0.6938   0.1612   1.039E-17   4.83066997E+00   1.18133552E+01
     300          6000   601.7219   2.000E+01   0.6959   0.1761   1.060E-17   4.80462975E+00   1.17200254E+01
     350       6905.23   634.2079   1.610E+01   0.6093   0.2000   1.322E-17   4.77740709E+00   1.16240479E+01
     400       7648.43   672.0190   1.452E+01   0.5908   0.2000   1.466E-17   4.74725679E+00   1.15113630E+01
     450       8388.94   657.3721   1.589E+01   0.7043   0.2000   1.409E-17   4.71709543E+00   1.14042571E+01
     500       9131.78   654.1451   1.396E+01   0.6716   0.2000   1.329E-17   4.69085178E+00   1.13237898E+01
     550       9798.44   647.5934   1.275E+01   0.6249   0.2000   2.047E-17   4.66793346E+00   1.12507337E+01
     600       10452.8   614.9199   1.294E+01   0.6639   0.2000   2.057E-17   4.64505468E+00   1.11757201E+01
     628         10800   372.6438   1.195E+01   0.6357   0.2000   1.222E-17   4.63296352E+00   1.11364779E+01
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     650       11072.3   453.3144   1.314E+01   0.6990   0.2000   1.946E-17   4.62352615E+00   1.11056927E+01
     700       11668.6  1069.3035   1.178E+01   0.6443   0.2000   2.502E-17   4.60280119E+00   1.10356024E+01
     750         12240   782.8056   1.126E+01   0.6386   0.2000   2.008E-17   4.58271270E+00   1.09648754E+01
     800       12789.3   731.5300   1.000E+01   0.5854   0.2000   3.032E-17   4.56318837E+00   1.08944270E+01
     850       13331.7   729.3964   1.160E+01   0.6803   0.2000   3.322E-17   4.54361724E+00   1.08215763E+01
     900       13893.1   634.8006   1.161E+01   0.7272   0.2000   3.688E-17   4.52302173E+00   1.07445830E+01
     950       14456.4   645.3300   1.160E+01   0.7373   0.2000   4.211E-17   4.50175943E+00   1.06654552E+01
    1000       14973.5   616.5560   1.021E+01   0.6428   0.2000   4.846E-17   4.48156289E+00   1.05877124E+01
    1050         15490   653.9694   1.051E+01   0.6751   0.2000   4.591E-17   4.46063913E+00   1.05079592E+01
    1100       16020.2   699.9489   1.072E+01   0.7407   0.2000   5.673E-17   4.43875545E+00   1.04282155E+01
    1150       16538.7  3906.0143   1.043E+01   0.7799   0.2000   6.054E-17   4.41702176E+00   1.03489448E+01
    1200       17035.3   825.4656   1.022E+01   0.7555   0.2000   5.973E-17   4.39584827E+00   1.02636981E+01
    1250       17540.3   802.6994   9.559E+00   0.7243   0.2000   5.704E-17   4.37401077E+00   1.01817471E+01
    1300       18030.5   660.5083   9.772E+00   0.7537   0.2000   6.384E-17   4.35240689E+00   1.01047466E+01
    1350         18502   572.6975   9.649E+00   0.7923   0.2000   7.210E-17   4.33150245E+00   1.00265898E+01
    1400       18957.2   589.6910   8.927E+00   0.7492   0.2000   6.816E-17   4.31123888E+00   9.94850438E+00
    1450       19411.7   635.3129   8.869E+00   0.7702   0.2000   7.391E-17   4.29075648E+00   9.87725336E+00
    1500       19853.4   629.7948   8.953E+00   0.7852   0.2000   9.281E-17   4.27060723E+00   9.80325357E+00
