zf,       f, height of full level, m
zh,       h, height of half level, m
pf,       f, pressure at full level, Pa
ph,       h, pressure at half level, Pa
t,        f, temperature, K
th,       f, potential temperature, K
q,        f, specific humidity, kg/kg
qc,       f, cloud water and ice, kg/kg
qr,       f, precipitating water, kg/kg
u,        f, zonal component wind, m/s
v,        f, meridional component wind, m/s
ugeo,     f, u-component geostrophic wind, m/s
vgeo,     f, v-component geostrophic wind, m/s
dudt_ls,  f, u-component momentum advection, m/s/s
dvdt_ls,  f, v-component momentum advection, m/s/s
dthdt_ls, f, potential temperature advection, K/s
dqdt_ls,  f, specific humidity advection, kg/kg/s
wth_sbg,  h, subgrid vertical potential temperature flux, Km/s
wth_res,  h, resolved vertical potential temperature flux, Km/s
wq_sbg,   h, subgrid vertical specific humidity flux, kg/kg m/s
wq_res,   h, resolved vertical specific humidity flux, kg/kg m/s
uw_sbg,   h, subgrid vertical flux u-component momentum, m2/s2
uw_res,   h, resolved vertical flux u-component momentum, m2/s2 
vw_sbg,   h, subgrid vertical flux v-component momentum, m2/s2
vw_res,   h, resolved vertical flux v-component momentum, m2/s2
uu_sbg,   f, subgrid u-variance, m2/s2
uu_res,   f, resolved u-variance, m2/s2
vv_sbg,   f, subgrid v-variance, m2/s2
vv_res,   f, resolved v-variance, m2/s2
ww_sbg,   h, subgrid w-variance, m2/s2
ww_res,   h, resolved w-variance, m2/s2
th2_sbg,  f, subgrid potential temperature variance, K2
th2_res,  f, resolved potential temperature variance, K2
TKE_sbg,  f, subgrid turbulent kinetic energy, m2/s2
TKE_res,  f, resolved turbulent kinetic energy, m2/s2
